,ih_ind
324,0.16363636363636364
325,0.23636363636363636
326,0.4
327,0.10909090909090909
328,0.45454545454545453
329,0.23636363636363636
330,0.2
331,0.18181818181818182
332,0.509090909090909
333,0.9090909090909091
334,0.09090909090909091
335,0.3090909090909091
336,0.509090909090909
337,0.2909090909090909
338,0.2545454545454545
339,0.10909090909090909
340,0.10909090909090909
341,0.2727272727272727
342,0.12727272727272726
343,0.14545454545454545
344,0.07272727272727272
345,0.16363636363636364
346,0.8545454545454545
347,0.07272727272727272
348,0.6545454545454545
349,0.09090909090909091
350,0.09090909090909091
351,0.7454545454545455
352,0.9090909090909091
353,0.8
354,0.16363636363636364
355,0.34545454545454546
356,0.09090909090909091
357,0.38181818181818183
358,0.14545454545454545
359,0.6
360,0.07272727272727272
361,0.14545454545454545
362,0.14545454545454545
363,0.5818181818181818
364,0.07272727272727272
365,0.45454545454545453
366,0.10909090909090909
367,0.16363636363636364
368,0.7454545454545455
369,0.2
370,0.5636363636363636
371,0.6363636363636364
372,0.2727272727272727
373,0.36363636363636365
374,0.16363636363636364
375,0.36363636363636365
376,0.05454545454545454
377,0.2727272727272727
378,0.05454545454545454
379,0.09090909090909091
380,0.10909090909090909
381,0.09090909090909091
382,0.05454545454545454
383,0.5636363636363636
384,0.45454545454545453
385,0.23636363636363636
386,0.10909090909090909
387,0.14545454545454545
388,0.5818181818181818
389,0.07272727272727272
390,0.03636363636363636
391,0.10909090909090909
392,0.509090909090909
393,0.12727272727272726
394,0.07272727272727272
395,0.8363636363636363
396,0.2
397,0.09090909090909091
398,0.09090909090909091
399,0.03636363636363636
400,0.14545454545454545
401,0.10909090909090909
402,0.6909090909090909
403,0.34545454545454546
404,0.6727272727272727
405,0.12727272727272726
406,0.2
407,0.4909090909090909
408,0.2727272727272727
409,0.7272727272727273
410,0.5272727272727272
411,0.5272727272727272
412,0.12727272727272726
413,0.07272727272727272
414,0.05454545454545454
415,0.09090909090909091
416,0.07272727272727272
417,0.10909090909090909
418,0.14545454545454545
419,0.10909090909090909
420,0.7090909090909091
421,0.3090909090909091
422,0.2
423,0.41818181818181815
424,0.07272727272727272
425,0.6
426,0.18181818181818182
427,0.10909090909090909
428,0.6
429,0.12727272727272726
430,0.18181818181818182
431,0.4727272727272727
432,0.18181818181818182
433,0.2727272727272727
434,0.8909090909090909
435,0.3090909090909091
436,0.16363636363636364
437,0.10909090909090909
438,0.07272727272727272
439,0.32727272727272727
440,0.3090909090909091
441,0.07272727272727272
442,0.01818181818181818
443,0.6727272727272727
444,0.09090909090909091
445,0.8727272727272727
446,0.12727272727272726
447,0.10909090909090909
448,0.509090909090909
449,0.3090909090909091
450,0.6909090909090909
451,0.09090909090909091
452,0.3090909090909091
453,0.16363636363636364
454,0.10909090909090909
455,0.8909090909090909
456,0.10909090909090909
457,0.09090909090909091
458,0.2727272727272727
459,0.6181818181818182
460,0.38181818181818183
461,0.10909090909090909
462,0.05454545454545454
463,0.2545454545454545
464,0.16363636363636364
465,0.7272727272727273
466,0.5818181818181818
467,0.4727272727272727
468,0.07272727272727272
469,0.07272727272727272
470,0.10909090909090909
471,0.10909090909090909
472,0.10909090909090909
473,0.7090909090909091
474,0.9090909090909091
475,0.18181818181818182
476,0.9090909090909091
477,0.36363636363636365
478,0.14545454545454545
479,0.16363636363636364
480,0.05454545454545454
481,0.5272727272727272
482,0.7636363636363637
483,0.21818181818181817
484,0.09090909090909091
485,0.7818181818181819
486,0.34545454545454546
487,0.5818181818181818
488,0.4909090909090909
489,0.09090909090909091
490,0.10909090909090909
491,0.07272727272727272
492,0.05454545454545454
493,0.09090909090909091
494,0.07272727272727272
495,0.9090909090909091
496,0.8
497,0.09090909090909091
498,0.18181818181818182
499,0.7454545454545455
500,0.09090909090909091
501,0.12727272727272726
502,0.7636363636363637
503,0.10909090909090909
504,0.10909090909090909
505,0.14545454545454545
506,0.09090909090909091
507,0.09090909090909091
508,0.4727272727272727
509,0.21818181818181817
510,0.43636363636363634
511,0.05454545454545454
512,0.10909090909090909
513,0.09090909090909091
514,0.4909090909090909
515,0.18181818181818182
516,0.14545454545454545
517,0.10909090909090909
518,0.16363636363636364
519,0.18181818181818182
520,0.09090909090909091
521,0.05454545454545454
522,0.2909090909090909
523,0.09090909090909091
524,0.12727272727272726
525,0.14545454545454545
526,0.18181818181818182
527,0.12727272727272726
528,0.34545454545454546
529,0.6
530,0.7454545454545455
531,0.6727272727272727
532,0.12727272727272726
533,0.09090909090909091
534,0.10909090909090909
535,0.18181818181818182
536,0.6363636363636364
537,0.07272727272727272
538,0.43636363636363634
539,0.12727272727272726
540,0.07272727272727272
541,0.32727272727272727
542,0.4909090909090909
543,0.43636363636363634
544,0.8363636363636363
545,0.43636363636363634
546,0.07272727272727272
547,0.7090909090909091
548,0.07272727272727272
549,0.10909090909090909
550,0.09090909090909091
551,0.43636363636363634
552,0.12727272727272726
553,0.32727272727272727
554,0.10909090909090909
555,0.09090909090909091
556,0.6909090909090909
557,0.8
558,0.07272727272727272
559,0.09090909090909091
560,0.7272727272727273
561,0.09090909090909091
